,BusinessName,Longitude,Latitude,LocalAuthorityName
1082,Tesco,0.13170400000000,51.57086600000000,Barking and Dagenham
1083,Tesco,0.07076700000000,51.53631900000000,Barking and Dagenham
1084,Tesco,0.16400500000000,51.54300800000000,Barking and Dagenham
1085,Tesco,0.15363700000000,51.55159000000000,Barking and Dagenham
1086,Tesco,0.10557000339031,51.53341293334960,Barking and Dagenham
1087,Tesco,0.14813000000000,51.54185200000000,Barking and Dagenham
1088,Tesco,0.10088700000000,51.53594500000000,Barking and Dagenham
1089,Tesco,0.12055800000000,51.56299200000000,Barking and Dagenham
1090,Tesco,0.08004700000000,51.53745900000000,Barking and Dagenham
1870,Tesco,-0.14241400000000,51.63215900000000,Barnet
1871,Tesco,-0.22807100000000,51.58283000000000,Barnet
1872,Tesco,-0.15936900000000,51.61454000000000,Barnet
1873,Tesco,-0.24770200000000,51.61470500000000,Barnet
1874,Tesco,-0.17634800000000,51.61543500000000,Barnet
1875,Tesco,-0.15638400000000,51.60694000000000,Barnet
1876,Tesco,-0.18685200000000,51.64653100000000,Barnet
1877,Tesco,-0.21486700000000,51.57428500000000,Barnet
1879,Tesco Express,-0.16685600000000,51.64595100000000,Barnet
1880,Tesco Express,-0.16015100000000,51.62591900000000,Barnet
1881,Tesco Express,-0.27489000000000,51.61649300000000,Barnet
1882,Tesco Express,-0.19955700000000,51.65311100000000,Barnet
1883,Tesco Express,-0.24284450000000,51.59629860000000,Barnet
1884,Tesco Express,-0.29177800000000,51.62181100000000,Barnet
1885,Tesco Metro,-0.22012100000000,51.58719600000000,Barnet
1886,Tesco Superstore,-0.19133099913597,51.60334777832030,Barnet
1310,Tesco,0.10428800000000,51.45019200000000,Bexley
1311,Tesco,0.09980700000000,51.46388700000000,Bexley
1312,Tesco,0.11025900000000,51.46763000000000,Bexley
1313,Tesco,0.16238300000000,51.47407200000000,Bexley
1314,Tesco,0.10307600000000,51.43320800000000,Bexley
1315,Tesco,0.75830000638962,51.16965866088867,Bexley
1316,Tesco Welling Superstore,0.10977200000000,51.46207200000000,Bexley
1847,Tesco,-0.24725500000000,51.53665500000000,Brent
1848,Tesco,-0.28417600000000,51.55677700000000,Brent
1849,Tesco,-0.20216700000000,51.54101700000000,Brent
1850,Tesco,-0.29599900000000,51.55189500000000,Brent
1851,Tesco,-0.29512200000000,51.57073900000000,Brent
1852,Tesco,-0.21724400000000,51.53198500000000,Brent
1853,Tesco,-0.26103000000000,51.54147300000000,Brent
1854,Tesco,-0.20350100000000,51.54633400000000,Brent
1855,Tesco,-0.29519700000000,51.55330500000000,Brent
1856,Tesco,-0.27995800000000,51.58521200000000,Brent
1857,Tesco,-0.31457700000000,51.55309900000000,Brent
1858,Tesco,-0.30602400000000,51.56276800000000,Brent
1859,Tesco,-0.25114200000000,51.56015600000000,Brent
1860,Tesco Express,-0.21921600000000,51.53355300000000,Brent
1861,Tesco Supermarket,-0.25544900000000,51.55391600000000,Brent
1929,Tesco,0.01854300000000,51.41508000000000,Bromley
1930,Tesco,0.03847700000000,51.30835800000000,Bromley
1931,Tesco,-0.04882700000000,51.41152800000000,Bromley
1932,Tesco,0.01722600000000,51.40053500000000,Bromley
1933,Tesco,-0.03269000000000,51.40688700000000,Bromley
1934,Tesco,-0.07346900000000,51.41677400000000,Bromley
1935,Tesco,-0.05575900000000,51.41623800000000,Bromley
1936,Tesco,0.00241000000000,51.39242600000000,Bromley
1937,Tesco,0.03161000000000,51.40003500000000,Bromley
1938,Tesco,0.09667800000000,51.37389700000000,Bromley
1939,Tesco,0.12110600000000,51.41276600000000,Bromley
1940,Tesco,-0.04819200000000,51.39671500000000,Bromley
1941,Tesco Express,-0.06427000000000,51.40610900000000,Bromley
1942,Tesco Express,0.11361300000000,51.40185800000000,Bromley
2913,Tesco,-0.10612800000000,51.52021850000000,Camden
2914,Tesco,-0.17887100000000,51.54205340000000,Camden
2915,Tesco,-0.17528100000000,51.54455150000000,Camden
2917,Tesco Express,-0.14945940000000,51.56211430000000,Camden
2918,Tesco Express,-0.17922060000000,51.55605120000000,Camden
2919,Tesco Express,-0.13325020000000,51.54537420000000,Camden
2920,Tesco Express,-0.19117600000000,51.54980500000000,Camden
2921,Tesco Express,-0.19677870000000,51.55563900000000,Camden
2922,Tesco Express,-0.19161320000000,51.53675600000000,Camden
2923,Tesco Express,-0.14107899367809,51.54756546020510,Camden
2924,Tesco Express,-0.16255330000000,51.54580970000000,Camden
2925,Tesco Express,-0.13773760000000,51.52378200000000,Camden
2926,Tesco Express,-0.14255300164223,51.53828430175780,Camden
2191,Tesco,-0.05303800106049,51.38888931274410,Croydon
2192,Tesco,-0.06755500286818,51.39434814453130,Croydon
2193,Tesco,-0.10044500231743,51.39849090576170,Croydon
2194,Tesco,-0.09950499981642,51.37919616699220,Croydon
2195,Tesco,-0.06241500005126,51.38161849975590,Croydon
2196,Tesco,-0.13923199474812,51.32085800170900,Croydon
2197,Tesco,-0.11045899987221,51.38572311401370,Croydon
2198,Tesco,-0.07649700343609,51.40015792846680,Croydon
2199,Tesco,-0.11625300347805,51.33806228637700,Croydon
2200,Tesco,-0.11609800159931,51.39715957641600,Croydon
2201,Tesco,-0.09740299731493,51.38587951660160,Croydon
2202,Tesco,-0.09898599982262,51.36951828002930,Croydon
2203,Tesco,-0.09793400019407,51.36162567138670,Croydon
2204,Tesco,-0.11809500306845,51.40137481689450,Croydon
2205,Tesco,-0.03294799849391,51.37673950195310,Croydon
2206,Tesco,-0.08257500082254,51.37925338745120,Croydon
2207,Tesco Express,-0.09857100248337,51.37365722656250,Croydon
2208,Tesco Express,-0.09408699721098,51.34840774536130,Croydon
1475,Tesco,-0.09587900000000,51.51459300000000,City of London Corporation
1476,Tesco,-0.07885700000000,51.51477500000000,City of London Corporation
1477,Tesco,-0.07272600000000,51.51166100000000,City of London Corporation
1478,Tesco Express,-0.10271400000000,51.51797700000000,City of London Corporation
1479,Tesco Express,-0.09782000000000,51.52091000000000,City of London Corporation
1480,Tesco Express,-0.08623200000000,51.51470600000000,City of London Corporation
1481,Tesco Express,-0.10463300000000,51.51271100000000,City of London Corporation
1482,Tesco Express,-0.10424900000000,51.51674300000000,City of London Corporation
1483,Tesco Metro,-0.08522300000000,51.51058800000000,City of London Corporation
1484,Tesco Metro,-0.09171700000000,51.51347300000000,City of London Corporation
1485,Tesco Metro,-0.08038800000000,51.51725400000000,City of London Corporation
2499,Tesco,-0.31707300000000,51.50339800000000,Ealing
2500,Tesco,-0.31925401091576,51.51111984252930,Ealing
2501,Tesco,-0.30300700664520,51.51279830932620,Ealing
2502,Tesco,-0.34655100107193,51.54208755493160,Ealing
2503,Tesco,-0.24976900219917,51.50645828247070,Ealing
2504,Tesco,-0.30175670000000,51.51603710000000,Ealing
2505,Tesco,-0.38317540000000,51.50055150000000,Ealing
2506,Tesco,-0.38940950000000,51.53745190000000,Ealing
2507,Tesco,-0.37239798903465,51.53143310546880,Ealing
2508,Tesco,-0.28119060000000,51.50835490000000,Ealing
2509,Tesco,-0.35239600000000,51.52834900000000,Ealing
2510,Tesco,-0.31874300000000,51.53360900000000,Ealing
2511,Tesco,-0.26054500000000,51.52278000000000,Ealing
1799,Tesco,-0.04684500000000,51.60824400000000,Enfield
1800,Tesco,-0.03441900000000,51.68055100000000,Enfield
1801,Tesco,-0.12889900000000,51.63297000000000,Enfield
1802,Tesco,-0.04256200000000,51.66648900000000,Enfield
1803,Tesco,-0.01673200000000,51.66854600000000,Enfield
1804,Tesco,-0.09384800000000,51.63321600000000,Enfield
1805,Tesco,-0.12918600000000,51.64884600000000,Enfield
1806,Tesco,-0.07619700000000,51.65217100000000,Enfield
1807,Tesco Express,-0.09191600000000,51.65377700000000,Enfield
1808,Tesco Express,-0.06522700000000,51.61305300000000,Enfield
1717,Tesco,0.03992980000000,51.44579670000000,Greenwich
1718,Tesco,0.07108670000000,51.49251040000000,Greenwich
1719,Tesco,0.04941140000000,51.45939170000000,Greenwich
1720,Tesco,0.00331290000000,51.48458740000000,Greenwich
1721,Tesco,0.09128200262785,51.48714065551760,Greenwich
1722,Tesco,-0.01125890000000,51.48132160000000,Greenwich
1723,Tesco,0.05023870000000,51.45149190000000,Greenwich
1724,Tesco,0.02978170000000,51.45071400000000,Greenwich
1725,Tesco,0.09021810000000,51.49895120000000,Greenwich
1726,Tesco,0.00616010000000,51.50069660000000,Greenwich
1728,Tesco Express,-0.02202650000000,51.48063320000000,Greenwich
2118,Tesco,-0.05436300000000,51.55533100000000,Hackney
2119,Tesco,-0.07766400000000,51.52445700000000,Hackney
2120,Tesco,-0.07498700000000,51.54928600000000,Hackney
2121,Tesco,-0.04793600000000,51.54339000000000,Hackney
2122,Tesco,-0.07613800000000,51.54559200000000,Hackney
2123,Tesco,-0.05270300000000,51.54693200000000,Hackney
2124,Tesco,-0.07538000000000,51.52938400000000,Hackney
2125,Tesco,-0.05918500000000,51.56372900000000,Hackney
2126,Tesco,-0.07479800000000,51.55821300000000,Hackney
2127,Tesco,-0.08582700000000,51.53811600000000,Hackney
2128,Tesco,-0.08643100000000,51.52989700000000,Hackney
2129,Tesco Express,-0.07627200335264,51.53832626342770,Hackney
1606,Tesco,-0.22426700000000,51.49562700000000,Hammersmith and Fulham
1607,Tesco,-0.21260400000000,51.48108900000000,Hammersmith and Fulham
1608,Tesco,-0.24303500000000,51.50319400000000,Hammersmith and Fulham
1609,Tesco,,,Hammersmith and Fulham
1610,Tesco Express,-0.20525200000000,51.48861200000000,Hammersmith and Fulham
1611,Tesco Express,-0.20606600000000,51.48109700000000,Hammersmith and Fulham
1612,Tesco Express,,,Hammersmith and Fulham
1613,Tesco Express,-0.22761200000000,51.50557900000000,Hammersmith and Fulham
1614,Tesco Express,-0.24082100000000,51.49334100000000,Hammersmith and Fulham
1615,Tesco Express,-0.21481700000000,51.47568300000000,Hammersmith and Fulham
1616,Tesco Express,-0.22566100000000,51.50239300000000,Hammersmith and Fulham
1617,Tesco Express,-0.18904300000000,51.47819200000000,Hammersmith and Fulham
1618,Tesco Express,-0.21078600000000,51.49517100000000,Hammersmith and Fulham
1619,Tesco Express,-0.20683400000000,51.47472400000000,Hammersmith and Fulham
1620,Tesco Express,-0.22713500000000,51.51415900000000,Hammersmith and Fulham
1621,Tesco Express,-0.22037000000000,51.48470500000000,Hammersmith and Fulham
1622,Tesco Metro,-0.22457100000000,51.49224200000000,Hammersmith and Fulham
1674,Tesco,,,Haringey
1675,Tesco,-0.07137100000000,51.58566500000000,Haringey
1676,Tesco Express,-0.12267000000000,51.60535300000000,Haringey
1677,Tesco Express,-0.12413500000000,51.57893100000000,Haringey
1678,Tesco Express,-0.14654470000000,51.57063820000000,Haringey
1679,Tesco Express,-0.11948400000000,51.58738100000000,Haringey
1680,Tesco Express,-0.10222800000000,51.59930600000000,Haringey
1681,Tesco Express,-0.10080400000000,51.58740400000000,Haringey
1682,Tesco Express,-0.11152100000000,51.60675800000000,Haringey
1683,Tesco Express,-0.05720499995873,51.58788500006640,Haringey
1319,Tesco,-0.36687300000000,51.56495300000000,Harrow
1320,Tesco,-0.35380100000000,51.57173000000000,Harrow
1321,Tesco,-0.33337200000000,51.58188200000000,Harrow
1322,Tesco,-0.37250300000000,51.60810300000000,Harrow
1323,Tesco,-0.37070200000000,51.57166900000000,Harrow
1324,Tesco,-0.31705000000000,51.60098200000000,Harrow
1325,Tesco,-0.36333100000000,51.58845400000000,Harrow
1326,Tesco,-0.38053370000000,51.58517830000000,Harrow
1327,Tesco,-0.39542299509049,51.59700012207030,Harrow
1328,Tesco,-0.33646500000000,51.57979400000000,Harrow
1329,Tesco,-0.27861700000000,51.59817700000000,Harrow
1330,Tesco,-0.33262600000000,51.58647500000000,Harrow
1331,Tesco,-0.29428700000000,51.59651700000000,Harrow
1583,Tesco,0.19059200000000,51.52814400000000,Havering
1584,Tesco,0.19197600000000,51.56564600000000,Havering
1585,Tesco,0.16378900000000,51.59830900000000,Havering
1586,Tesco,0.18230800000000,51.57587100000000,Havering
1587,Tesco,0.21850800000000,51.57209800000000,Havering
1588,Tesco,0.20824700000000,51.54379400000000,Havering
1592,Tesco Express,0.16411900000000,51.58247600000000,Havering
1593,Tesco Express,0.18702800000000,51.58219500000000,Havering
1594,Tesco Express,,,Havering
1595,Tesco Express,0.26671700000000,51.56180600000000,Havering
1596,Tesco Express,0.22095900000000,51.58328400000000,Havering
1597,Tesco Express,0.20761400000000,51.55061400000000,Havering
1598,Tesco Express,0.17566200000000,51.57815300000000,Havering
1733,Tesco,-0.38120200000000,51.56081700000000,Hillingdon
1734,Tesco,-0.42451600000000,51.57402300000000,Hillingdon
1735,Tesco,-0.43960700000000,51.56907100000000,Hillingdon
1736,Tesco,-0.41389200000000,51.52017800000000,Hillingdon
1737,Tesco,-0.48119500000000,51.52264200000000,Hillingdon
1738,Tesco,-0.48161000000000,51.54743000000000,Hillingdon
1739,Tesco,-0.39898900000000,51.57852400000000,Hillingdon
1740,Tesco,-0.45853599905968,51.52604293823240,Hillingdon
1741,Tesco,-0.41303700000000,51.57422800000000,Hillingdon
1742,Tesco,-0.42137000000000,51.50068500000000,Hillingdon
