,msoa_code,name,ethnicity_white_2011,ethnicity_mixed_2011,ethnicity_asian_2011,ethnicity_black_2011,ethnicity_other_2011,ethnicity_bame_2011,perc_ethnicity_white_2011,perc_ethnicity_mixed_2011,perc_ethnicity_asian_2011,perc_ethnicity_black_2011,perc_ethnicity_other_2011,perc_ethnicity_bame_2011,uk_born_2011,not_uk_born_2011,perc_uk_born_2011,perc_not_uk_born_2011,language_has_not_+16_english_speaker_2011,language_has_not_+16_english_speaker_2011,perc_language_has_not_+16_english_speaker_2011,perc_language_has_not_+16_english_speaker_2011,religion_christian_2011,religion_buddhist_2011,religion_hindu_2011,religion_jewish_2011,religion_muslim_2011,religion_sikh_2011,religion_other_religion_2011,religion_no_religion_2011,religion_religion_not_stated_2011,perc_religion_christian_2011,perc_religion_buddhist_2011,perc_religion_hindu_2011,perc_religion_jewish_2011,perc_religion_muslim_2011,perc_religion_sikh_2011,perc_religion_other_religion_2011,perc_religion_no_religion_2011,perc_religion_religion_not_stated_2011,median_house_price_2005,median_house_price_2006,median_house_price_2007,median_house_price_2008,median_house_price_2009,median_house_price_2010,median_house_price_2011,median_house_price_2012,median_house_price_2013,sales_house_price_2005,sales_house_price_2006,sales_house_price_2007,sales_house_price_2008,sales_house_price_2009,sales_house_price_2010,sales_house_price_2011,sales_house_price_2011,sales_house_price_2013,qualification_no_qualification_2011,qualification_level_1_2011,qualification_level_2_2011,qualification_apprenticeship_2011,qualification_level_3_2011,qualification_level_4_2011,qualification_other_qualifications_2011,qualification_students_2011,economic_activity_active_total_2011,economic_activity_active_unemployed_2011,economic_activity_inactive_total_2011,perc_economic_activity_active_2011,unemployment_rate_2011,perc_economic_activity_inactive_total_2011
0,E02000001,City of London 001,5799,289,940,193,154,1576,78.6,3.9,12.7,2.6,2.1,21.4,4670,2705,63.3,36.7,3825,560,87.2,12.8,3344,92,145,166,409,18,28,2522,651,45.3,1.2,2.0,2.3,5.5,0.2,0.4,34.2,8.8,310000,341000,412500,365000,410000,450000,465000,485000,595000,303,295,268,141,157,235,256,195,353,454,291,445,47,484,4618,416,422,4972,187,1335,78.8,3.8,21.2
1,E02000002,Barking and Dagenham 001,4403,330,820,1133,89,2372,65.0,4.9,12.1,16.7,1.3,35.0,5159,1616,76.1,23.9,2459,254,90.6,9.4,3975,19,174,27,591,122,16,1417,434,58.7,0.3,2.6,0.4,8.7,1.8,0.2,20.9,6.4,168500,180000,187500,197500,190000,173000,185000,182250,190000,81,100,100,68,45,61,51,42,61,1623,789,706,118,479,914,395,272,2847,335,1513,65.3,11.8,34.7
2,E02000003,Barking and Dagenham 002,5486,433,2284,1618,224,4559,54.6,4.3,22.7,16.1,2.2,45.4,7193,2852,71.6,28.4,3431,403,89.5,10.5,5475,46,476,42,1351,430,34,1514,677,54.5,0.5,4.7,0.4,13.4,4.3,0.3,15.1,6.7,185000,197750,220000,225000,188500,215000,200000,205500,237000,203,232,295,100,80,97,89,114,98,1778,1210,1236,169,847,1829,729,442,5038,459,2111,70.5,9.1,29.5
3,E02000004,Barking and Dagenham 003,5006,186,313,649,28,1176,81.0,3.0,5.1,10.5,0.5,19.0,5292,890,85.6,14.4,2214,104,95.5,4.5,4070,21,34,23,234,10,18,1373,399,65.8,0.3,0.5,0.4,3.8,0.2,0.3,22.2,6.5,181000,182000,212000,208998,182000,192000,193750,205000,210000,93,131,125,66,54,61,72,58,67,1502,800,825,163,539,891,266,215,3187,296,1251,71.8,9.3,28.2
4,E02000005,Barking and Dagenham 004,5674,313,1050,1445,80,2888,66.3,3.7,12.3,16.9,0.9,33.7,6425,2137,75.0,25.0,2868,315,90.1,9.9,4986,28,138,35,762,166,13,1816,618,58.2,0.3,1.6,0.4,8.9,1.9,0.2,21.2,7.2,162250,170000,185000,200000,166250,169000,165000,167000,180000,152,168,184,73,60,58,81,59,75,1839,1026,1038,160,653,1119,527,333,4052,394,1881,68.3,9.7,31.7
5,E02000007,Barking and Dagenham 006,5906,307,526,1997,55,2885,67.2,3.5,6.0,22.7,0.6,32.8,6658,2133,75.7,24.3,3117,324,90.6,9.4,5409,22,67,13,577,19,24,2148,512,61.5,0.3,0.8,0.1,6.6,0.2,0.3,24.4,5.8,165000,165000,187000,199000,155000,165000,153750,172500,168500,112,133,139,39,40,75,76,48,55,2057,1065,1001,166,556,1129,429,402,3905,511,1893,67.4,13.1,32.6
6,E02000008,Barking and Dagenham 007,8057,478,883,2010,141,3512,69.6,4.1,7.6,17.4,1.2,30.4,8839,2730,76.4,23.6,4156,435,90.5,9.5,7015,45,109,28,848,69,22,2680,753,60.6,0.4,0.9,0.2,7.3,0.6,0.2,23.2,6.5,159998,166500,180000,186000,153000,159000,160000,162000,175750,228,257,229,113,78,74,76,83,86,2787,1364,1413,163,796,1401,703,465,5217,579,2689,66.0,11.1,34.0
7,E02000009,Barking and Dagenham 008,5136,366,1220,1581,92,3259,61.2,4.4,14.5,18.8,1.1,38.8,5966,2429,71.1,28.9,2791,421,86.9,13.1,4743,89,138,17,1012,96,21,1728,551,56.5,1.1,1.6,0.2,12.1,1.1,0.3,20.6,6.6,159000,163000,182500,191500,157500,181498,171000,172248,176995,134,162,173,53,46,134,151,130,115,1841,980,984,121,562,1240,605,443,4039,449,1908,67.9,11.1,32.1
8,E02000010,Barking and Dagenham 009,5962,280,638,1641,94,2653,69.2,3.3,7.4,19.0,1.1,30.8,6534,2081,75.8,24.2,2963,329,90.0,10.0,5279,22,78,16,553,27,25,2067,548,61.3,0.3,0.9,0.2,6.4,0.3,0.3,24.0,6.4,157500,163000,185000,190000,150000,160000,157500,163000,174000,155,311,181,76,59,56,45,59,52,1951,1023,985,119,596,1091,515,351,3889,398,1943,66.7,10.2,33.3
9,E02000011,Barking and Dagenham 010,4106,202,682,1146,51,2081,66.4,3.3,11.0,18.5,0.8,33.6,4615,1572,74.6,25.4,2060,229,90.0,10.0,4006,28,87,15,481,68,16,1119,367,64.7,0.5,1.4,0.2,7.8,1.1,0.3,18.1,5.9,171250,178000,205000,211000,165000,182000,184000,171500,203250,106,122,160,68,49,61,53,48,58,1375,763,760,137,448,938,379,293,3077,265,1295,70.4,8.6,29.6
