,msoa_code,name,ethnicity_white_2011,ethnicity_mixed_2011,ethnicity_asian_2011,ethnicity_black_2011,ethnicity_other_2011,ethnicity_bame_2011,perc_ethnicity_white_2011,perc_ethnicity_mixed_2011,perc_ethnicity_asian_2011,perc_ethnicity_black_2011,perc_ethnicity_other_2011,perc_ethnicity_bame_2011,uk_born_2011,not_uk_born_2011,perc_uk_born_2011,perc_not_uk_born_2011,language_has_not_+16_english_speaker_2011,language_has_not_+16_english_speaker_2011,perc_language_has_not_+16_english_speaker_2011,perc_language_has_not_+16_english_speaker_2011,religion_christian_2011,religion_buddhist_2011,religion_hindu_2011,religion_jewish_2011,religion_muslim_2011,religion_sikh_2011,religion_other_religion_2011,religion_no_religion_2011,religion_religion_not_stated_2011,perc_religion_christian_2011,perc_religion_buddhist_2011,perc_religion_hindu_2011,perc_religion_jewish_2011,perc_religion_muslim_2011,perc_religion_sikh_2011,perc_religion_other_religion_2011,perc_religion_no_religion_2011,perc_religion_religion_not_stated_2011,median_house_price_2005,median_house_price_2006,median_house_price_2007,median_house_price_2008,median_house_price_2009,median_house_price_2010,median_house_price_2011,median_house_price_2012,median_house_price_2013,sales_house_price_2005,sales_house_price_2006,sales_house_price_2007,sales_house_price_2008,sales_house_price_2009,sales_house_price_2010,sales_house_price_2011,sales_house_price_2011,sales_house_price_2013,qualification_no_qualification_2011,qualification_level_1_2011,qualification_level_2_2011,qualification_apprenticeship_2011,qualification_level_3_2011,qualification_level_4_2011,qualification_other_qualifications_2011,qualification_students_2011,economic_activity_active_total_2011,economic_activity_active_unemployed_2011,economic_activity_inactive_total_2011,perc_economic_activity_active_2011,unemployment_rate_2011,perc_economic_activity_inactive_total_2011
10,E02000012,Barking and Dagenham 011,4340,427,3941,969,211,5548,43.9,4.3,39.9,9.8,2.1,56.1,6689,3199,67.6,32.4,2809,449,86.2,13.8,4307,66,392,17,3057,448,21,1012,568,43.6,0.7,4.0,0.2,30.9,4.5,0.2,10.2,5.7,235000,245000,280000,270000,255000,269000,250000,260000,265000,181,217,206,107,75,84,104,96,82,1726,1039,1088,195,828,1881,827,609,4681,344,2284,67.2,7.3,32.8
11,E02000013,Barking and Dagenham 012,5790,374,657,1492,89,2612,68.9,4.5,7.8,17.8,1.1,31.1,6313,2089,75.1,24.9,2789,336,89.2,10.8,5077,29,72,15,586,38,26,1937,622,60.4,0.3,0.9,0.2,7.0,0.5,0.3,23.1,7.4,159995,160500,182000,188000,149000,167000,156250,172250,176500,123,134,166,81,42,61,40,58,68,1891,987,946,153,515,1037,524,347,3745,370,1868,66.7,9.9,33.3
12,E02000014,Barking and Dagenham 013,6627,362,630,1650,133,2775,70.5,3.9,6.7,17.5,1.4,29.5,7024,2378,74.7,25.3,3160,371,89.5,10.5,5734,58,28,33,603,18,47,2208,673,61.0,0.6,0.3,0.4,6.4,0.2,0.5,23.5,7.2,159000,163750,180000,190000,155000,160000,159000,163000,172500,127,186,156,73,49,53,65,56,72,2280,1099,1102,129,579,1151,610,376,4347,478,2074,67.7,11.0,32.3
13,E02000015,Barking and Dagenham 014,4786,343,429,1913,92,2777,63.3,4.5,5.7,25.3,1.2,36.7,5509,2054,72.8,27.2,2860,310,90.2,9.8,4633,39,74,7,478,33,21,1765,513,61.3,0.5,1.0,0.1,6.3,0.4,0.3,23.3,6.8,149950,145000,145000,175000,145000,150000,140000,130000,140000,143,116,121,62,21,29,32,31,49,1702,908,918,136,466,1007,448,386,3453,481,1738,66.5,13.9,33.5
14,E02000016,Barking and Dagenham 015,2271,437,2676,2073,219,5405,29.6,5.7,34.9,27.0,2.9,70.4,3193,4483,41.6,58.4,2006,928,68.4,31.6,3148,51,700,16,2341,146,28,828,418,41.0,0.7,9.1,0.2,30.5,1.9,0.4,10.8,5.4,138000,152000,165000,174998,144000,137625,152975,132500,145000,93,134,421,104,105,112,78,29,41,841,631,639,62,473,2017,958,832,3819,452,1721,68.9,11.8,31.1
15,E02000017,Barking and Dagenham 016,2657,299,4279,1066,197,5841,31.3,3.5,50.4,12.5,2.3,68.7,4207,4291,49.5,50.5,2009,720,73.6,26.4,3043,33,664,12,3093,516,27,657,453,35.8,0.4,7.8,0.1,36.4,6.1,0.3,7.7,5.3,192500,210000,230000,215000,215000,219000,225000,210000,208000,154,198,188,82,47,55,63,53,73,1324,830,805,98,596,1971,1012,804,4271,386,2020,67.9,9.0,32.1
16,E02000018,Barking and Dagenham 017,5702,415,863,1769,141,3188,64.1,4.7,9.7,19.9,1.6,35.9,6363,2527,71.6,28.4,2870,456,86.3,13.7,5180,16,98,14,951,38,22,2036,535,58.3,0.2,1.1,0.2,10.7,0.4,0.2,22.9,6.0,157000,160500,177500,187000,154000,164000,155500,161000,175000,151,170,170,64,59,66,38,47,53,1927,1063,930,131,582,1174,592,409,3946,464,2042,65.9,11.8,34.1
17,E02000019,Barking and Dagenham 018,5287,324,748,1826,91,2989,63.9,3.9,9.0,22.1,1.1,36.1,5970,2306,72.1,27.9,2659,351,88.3,11.7,5034,27,62,4,718,22,27,1854,528,60.8,0.3,0.7,0.0,8.7,0.3,0.3,22.4,6.4,159748,162000,183500,178000,149500,162500,155000,165500,172000,106,164,190,108,62,55,53,44,60,1738,949,970,118,515,1201,543,369,3909,404,1727,69.4,10.3,30.6
18,E02000020,Barking and Dagenham 019,4300,415,2317,2014,230,4976,46.4,4.5,25.0,21.7,2.5,53.6,5602,3674,60.4,39.6,2776,684,80.2,19.8,4884,51,362,10,1853,230,17,1286,583,52.7,0.5,3.9,0.1,20.0,2.5,0.2,13.9,6.3,170000,175000,200500,200000,173750,183000,171000,215000,195000,144,186,164,76,44,63,60,113,141,1848,877,892,125,624,1643,816,609,4231,479,2048,67.4,11.3,32.6
19,E02000021,Barking and Dagenham 020,4548,322,717,2219,98,3356,57.5,4.1,9.1,28.1,1.2,42.5,5267,2637,66.6,33.4,2559,390,86.8,13.2,5052,23,144,13,590,105,32,1374,571,63.9,0.3,1.8,0.2,7.5,1.3,0.4,17.4,7.2,155000,160000,179000,185000,149500,156995,152000,160000,170000,145,208,216,77,61,57,51,44,47,1638,919,906,122,517,1221,506,419,3749,359,1649,69.5,9.6,30.5
20,E02000022,Barking and Dagenham 021,3355,497,1479,3149,297,5422,38.2,5.7,16.9,35.9,3.4,61.8,4420,4357,50.4,49.6,2324,937,71.3,28.7,4167,63,214,11,2415,84,18,1210,595,47.5,0.7,2.4,0.1,27.5,1.0,0.2,13.8,6.8,131995,138000,185500,182500,145000,140000,135000,130000,135000,43,58,110,57,105,29,24,28,23,1454,741,761,61,537,1461,814,589,3701,575,1960,65.4,15.5,34.6
21,E02000023,Barking and Dagenham 022,2928,328,783,2337,106,3554,45.2,5.1,12.1,36.1,1.6,54.8,4110,2372,63.4,36.6,2051,380,84.4,15.6,3618,28,79,21,1134,42,15,1126,419,55.8,0.4,1.2,0.3,17.5,0.6,0.2,17.4,6.5,143750,147500,160000,160000,176625,160000,167250,165000,190000,90,104,121,48,20,29,28,16,44,1107,709,656,93,403,1009,468,427,2860,376,1367,67.7,13.1,32.3
22,E02006799,Barking and Dagenham 023,6059,440,1659,1443,155,3697,62.1,4.5,17.0,14.8,1.6,37.9,7116,2640,72.9,27.1,3161,463,87.2,12.8,5266,38,274,36,1292,225,43,1951,631,54.0,0.4,2.8,0.4,13.2,2.3,0.4,20.0,6.5,165000,169998,190000,188000,163500,172998,195000,177000,180000,128,174,178,101,56,76,128,59,77,2167,1132,1056,149,648,1390,668,490,4441,513,2182,67.1,11.6,32.9
23,E02000024,Barnet 001,8470,384,887,242,173,1686,83.4,3.8,8.7,2.4,1.7,16.6,7999,2157,78.8,21.2,3826,284,93.1,6.9,5608,90,307,449,371,26,81,2361,863,55.2,0.9,3.0,4.4,3.7,0.3,0.8,23.2,8.5,285000,320000,320000,335000,324350,336020,370000,380000,379000,186,237,217,110,120,173,131,157,178,1019,798,1114,146,900,3800,455,388,5473,247,1857,74.7,4.5,25.3
24,E02000025,Barnet 002,6264,367,714,370,241,1692,78.7,4.6,9.0,4.7,3.0,21.3,6100,1856,76.7,23.3,3310,312,91.4,8.6,4233,52,262,349,330,19,45,2011,655,53.2,0.7,3.3,4.4,4.1,0.2,0.6,25.3,8.2,220000,245000,259269,245000,240000,250000,262500,307500,327500,187,249,278,102,98,127,112,117,120,1038,752,898,131,680,2601,450,317,4351,253,1614,72.9,5.8,27.1
25,E02000026,Barnet 003,4961,244,698,239,171,1352,78.6,3.9,11.1,3.8,2.7,21.4,4752,1561,75.3,24.7,2269,227,90.9,9.1,3491,45,258,467,371,24,83,1069,505,55.3,0.7,4.1,7.4,5.9,0.4,1.3,16.9,8.0,265000,297500,350000,368000,320000,347000,351998,342500,397473,107,133,137,53,74,100,68,80,96,790,561,699,114,542,2003,347,283,3210,166,1380,69.9,5.2,30.1
26,E02000027,Barnet 004,6687,524,1187,906,294,2911,69.7,5.5,12.4,9.4,3.1,30.3,7004,2594,73.0,27.0,3299,406,89.0,11.0,5385,103,296,197,886,13,96,1806,816,56.1,1.1,3.1,2.1,9.2,0.1,1.0,18.8,8.5,235000,250000,272000,279975,250000,284000,279950,299975,332500,122,145,127,64,61,86,79,78,85,1683,1012,1123,183,758,2118,580,437,4632,392,2207,67.7,8.5,32.3
27,E02000028,Barnet 005,4616,283,813,297,157,1550,74.9,4.6,13.2,4.8,2.5,25.1,4598,1568,74.6,25.4,2237,236,90.5,9.5,3184,51,300,536,368,19,71,1139,498,51.6,0.8,4.9,8.7,6.0,0.3,1.2,18.5,8.1,248000,279000,279000,275000,280000,274250,330000,369375,355000,108,147,136,85,89,80,99,70,91,675,529,745,83,547,2063,362,248,3392,170,1148,74.7,5.0,25.3
28,E02000029,Barnet 006,6386,495,905,500,231,2131,75.0,5.8,10.6,5.9,2.7,25.0,6548,1969,76.9,23.1,3186,327,90.7,9.3,4556,81,288,363,540,21,69,1911,688,53.5,1.0,3.4,4.3,6.3,0.2,0.8,22.4,8.1,205000,223000,248000,243000,249930,273000,263825,319000,275000,201,213,208,86,89,107,96,99,113,1117,847,1013,166,684,2399,459,337,4560,319,1650,73.4,7.0,26.6
29,E02000030,Barnet 007,6850,338,1320,364,258,2280,75.0,3.7,14.5,4.0,2.8,25.0,6931,2199,75.9,24.1,3172,238,93.0,7.0,4203,91,405,1568,558,42,106,1266,891,46.0,1.0,4.4,17.2,6.1,0.5,1.2,13.9,9.8,440000,470000,561500,550000,499975,605000,609000,675000,647975,117,165,162,69,100,121,88,96,112,1309,774,1021,114,752,2880,487,344,4417,225,2060,68.2,5.1,31.8
30,E02000031,Barnet 008,5221,310,1162,347,254,2073,71.6,4.3,15.9,4.8,3.5,28.4,4843,2451,66.4,33.6,2472,345,87.8,12.2,3651,103,357,808,489,34,104,1134,614,50.1,1.4,4.9,11.1,6.7,0.5,1.4,15.5,8.4,330000,378000,385000,376250,350000,317500,410500,441500,381250,95,127,126,54,59,82,84,84,118,862,535,763,95,633,2566,478,276,3679,161,1468,71.5,4.4,28.5
31,E02000032,Barnet 009,5320,347,1524,277,389,2537,67.7,4.4,19.4,3.5,5.0,32.3,5313,2544,67.6,32.4,2413,329,88.0,12.0,3891,75,592,506,884,40,133,1041,695,49.5,1.0,7.5,6.4,11.3,0.5,1.7,13.2,8.8,338000,336250,395000,410000,350000,404000,398500,437000,458000,123,118,106,51,66,79,60,69,55,1019,646,869,117,762,2353,489,340,4025,187,1679,70.6,4.6,29.4
32,E02000033,Barnet 010,5892,508,1283,537,317,2645,69.0,6.0,15.0,6.3,3.7,31.0,6014,2523,70.4,29.6,2902,415,87.5,12.5,4683,54,483,258,720,42,114,1550,633,54.9,0.6,5.7,3.0,8.4,0.5,1.3,18.2,7.4,242750,250000,299000,270000,275000,291000,308410,305000,340000,124,246,187,61,86,99,80,87,109,1251,847,1010,162,762,2121,605,341,4470,367,1711,72.3,8.2,27.7
33,E02000034,Barnet 011,6017,419,1306,473,293,2491,70.7,4.9,15.4,5.6,3.4,29.3,5739,2769,67.5,32.5,2897,506,85.1,14.9,4572,46,492,505,712,34,113,1345,689,53.7,0.5,5.8,5.9,8.4,0.4,1.3,15.8,8.1,222500,227000,245000,250000,250000,271000,243625,275000,283500,143,193,158,77,83,105,100,90,110,1060,713,884,112,721,2716,621,378,4471,264,1751,71.9,5.9,28.1
34,E02000035,Barnet 012,5092,360,1740,340,433,2873,63.9,4.5,21.8,4.3,5.4,36.1,4648,3317,58.4,41.6,2722,659,80.5,19.5,3199,160,569,970,733,45,153,1497,639,40.2,2.0,7.1,12.2,9.2,0.6,1.9,18.8,8.0,249748,249000,276250,250000,250000,320000,330000,327500,390000,150,176,176,77,67,117,101,106,117,936,529,708,62,610,3073,667,397,4279,235,1601,72.8,5.5,27.2
35,E02000036,Barnet 013,6227,474,2316,1322,404,4516,58.0,4.4,21.6,12.3,3.8,42.0,6845,3898,63.7,36.3,3348,594,84.9,15.1,4135,139,881,2207,1182,28,158,1153,860,38.5,1.3,8.2,20.5,11.0,0.3,1.5,10.7,8.0,249475,250000,285000,280000,290000,286125,282000,342500,325000,194,200,190,97,80,130,113,110,107,1460,988,1128,121,882,2888,825,488,5350,348,2233,70.6,6.5,29.4
36,E02000037,Barnet 014,6185,361,2062,771,362,3556,63.5,3.7,21.2,7.9,3.7,36.5,6500,3241,66.7,33.3,2975,422,87.6,12.4,2242,36,967,3747,965,32,233,659,860,23.0,0.4,9.9,38.5,9.9,0.3,2.4,6.8,8.8,350000,353800,440000,455000,412000,390475,320000,299500,427500,100,131,152,62,65,120,101,118,75,1260,836,1023,90,788,2745,595,459,4722,293,1956,70.7,6.2,29.3
37,E02000038,Barnet 015,6883,566,1868,826,371,3631,65.5,5.4,17.8,7.9,3.5,34.5,6793,3721,64.6,35.4,3435,614,84.8,15.2,5134,87,810,526,882,76,87,2028,884,48.8,0.8,7.7,5.0,8.4,0.7,0.8,19.3,8.4,250000,312000,340550,250000,315000,338472,317500,384000,415000,205,235,227,92,83,129,147,122,123,1304,891,1008,156,937,3407,792,557,5739,346,2127,73.0,6.0,27.0
38,E02000039,Barnet 016,4682,277,1069,433,214,1993,70.1,4.1,16.0,6.5,3.2,29.9,4596,2079,68.9,31.1,2212,273,89.0,11.0,2446,71,293,1866,540,12,59,874,514,36.6,1.1,4.4,28.0,8.1,0.2,0.9,13.1,7.7,320000,318250,350000,370000,397500,410000,425000,331250,430000,111,148,147,84,68,93,87,82,90,589,478,684,78,530,2418,429,284,3498,141,1292,73.0,4.0,27.0
39,E02000040,Barnet 017,4484,424,1250,705,334,2713,62.3,5.9,17.4,9.8,4.6,37.7,4727,2470,65.7,34.3,2286,363,86.3,13.7,3058,60,324,898,1086,19,54,1103,595,42.5,0.8,4.5,12.5,15.1,0.3,0.8,15.3,8.3,323875,330000,345000,292500,250000,335000,367500,402550,470000,73,105,104,80,111,121,124,87,95,960,534,719,93,584,2062,542,364,3420,251,1543,68.9,7.3,31.1
40,E02000041,Barnet 018,5039,360,2155,825,432,3772,57.2,4.1,24.5,9.4,4.9,42.8,5071,3740,57.6,42.4,2559,561,82.0,18.0,3087,157,767,2064,1069,22,196,862,587,35.0,1.8,8.7,23.4,12.1,0.2,2.2,9.8,6.7,275000,268500,313500,272475,290000,300000,338500,300000,362500,87,135,152,70,84,84,72,59,50,1258,717,924,100,700,2377,827,486,4442,272,1812,71.0,6.1,29.0
41,E02000042,Barnet 019,6167,529,2813,562,568,4472,58.0,5.0,26.4,5.3,5.3,42.0,5702,4937,53.6,46.4,3414,1007,77.2,22.8,4290,131,1090,728,1119,65,280,2084,852,40.3,1.2,10.2,6.8,10.5,0.6,2.6,19.6,8.0,240000,244950,260000,249950,250000,285000,280000,276500,323000,186,207,234,95,108,133,131,112,141,1317,703,902,90,833,3898,1078,570,5938,356,2093,73.9,6.0,26.1
42,E02000043,Barnet 020,4648,319,2209,201,319,3048,60.4,4.1,28.7,2.6,4.1,39.6,4512,3184,58.6,41.4,2212,481,82.1,17.9,2678,288,606,1121,453,91,195,1557,707,34.8,3.7,7.9,14.6,5.9,1.2,2.5,20.2,9.2,385000,412500,465000,480000,442500,492500,537500,527722,617500,107,130,111,53,70,76,71,78,71,622,407,600,73,543,3154,589,311,3947,187,1486,72.6,4.7,27.4
43,E02000044,Barnet 021,4528,432,1579,1211,321,3543,56.1,5.4,19.6,15.0,4.0,43.9,4913,3158,60.9,39.1,2338,524,81.7,18.3,3887,113,517,612,1105,29,56,1168,584,48.2,1.4,6.4,7.6,13.7,0.4,0.7,14.5,7.2,207500,220500,249500,244000,210000,241250,247000,250000,250000,85,134,159,88,49,72,55,73,91,1282,773,855,92,577,1837,701,426,4028,335,1738,69.9,8.3,30.1
44,E02000045,Barnet 022,6607,749,1486,907,488,3630,64.5,7.3,14.5,8.9,4.8,35.5,6539,3698,63.9,36.1,3455,713,82.9,17.1,4823,88,535,267,1043,62,53,2533,833,47.1,0.9,5.2,2.6,10.2,0.6,0.5,24.7,8.1,199975,232500,230000,227750,220000,272500,268975,245500,295500,188,256,196,82,82,99,112,88,125,1345,881,982,109,917,3051,784,480,5578,427,2087,72.8,7.7,27.2
45,E02000046,Barnet 023,4434,383,1654,282,310,2629,62.8,5.4,23.4,4.0,4.4,37.2,3867,3196,54.8,45.2,2240,620,78.3,21.7,2721,147,632,720,491,22,115,1626,589,38.5,2.1,8.9,10.2,7.0,0.3,1.6,23.0,8.3,244000,249999,305000,295500,303500,329000,317500,365260,365500,101,145,142,70,58,98,62,67,82,654,414,539,63,566,2969,704,435,4207,232,1271,76.8,5.5,23.2
46,E02000047,Barnet 024,5238,610,3181,1787,557,6135,46.1,5.4,28.0,15.7,4.9,53.9,5776,5597,50.8,49.2,2983,1053,73.9,26.1,5689,355,949,117,2038,28,55,1395,747,50.0,3.1,8.3,1.0,17.9,0.2,0.5,12.3,6.6,214000,210000,225000,239000,191000,222000,230000,234000,241750,165,171,205,187,115,110,67,57,80,2102,1109,1035,142,790,2171,1343,698,5524,482,2565,68.3,8.7,31.7
47,E02000048,Barnet 025,6272,453,1899,613,580,3545,63.9,4.6,19.3,6.2,5.9,36.1,6068,3749,61.8,38.2,3226,558,85.3,14.7,3154,120,559,2622,1047,69,78,1293,875,32.1,1.2,5.7,26.7,10.7,0.7,0.8,13.2,8.9,269975,284000,332500,312500,321000,340000,363500,365000,398475,170,259,278,107,108,136,136,131,134,951,726,890,85,751,3554,740,484,5110,259,1944,72.4,5.1,27.6
48,E02000049,Barnet 026,3270,654,1508,2519,552,5233,38.5,7.7,17.7,29.6,6.5,61.5,4519,3984,53.1,46.9,2189,839,72.3,27.7,4283,97,296,139,1974,31,28,1092,563,50.4,1.1,3.5,1.6,23.2,0.4,0.3,12.8,6.6,210000,187500,210000,197500,167500,220000,218500,237500,218000,83,56,86,23,18,20,32,59,17,1292,798,889,65,642,1521,818,600,3731,430,2083,64.2,11.5,35.8
49,E02000050,Barnet 027,6277,592,1891,919,385,3787,62.4,5.9,18.8,9.1,3.8,37.6,6254,3810,62.1,37.9,3260,593,84.6,15.4,4389,89,970,621,930,54,102,2087,822,43.6,0.9,9.6,6.2,9.2,0.5,1.0,20.7,8.2,249999,256000,275000,270000,316500,334975,270000,289500,300000,189,180,202,75,62,116,107,120,91,1313,735,892,110,793,3286,854,543,5416,352,2056,72.5,6.5,27.5
50,E02000051,Barnet 028,5681,384,1578,454,550,2966,65.7,4.4,18.2,5.3,6.4,34.3,4954,3693,57.3,42.7,2912,625,82.3,17.7,2256,125,538,2818,739,25,62,1276,808,26.1,1.4,6.2,32.6,8.5,0.3,0.7,14.8,9.3,300000,330000,383000,365000,365000,421500,349760,435000,546250,117,235,183,79,81,120,99,100,112,916,528,755,47,704,3377,787,627,4522,241,1788,71.7,5.3,28.3
51,E02000052,Barnet 029,7123,516,1124,599,336,2575,73.4,5.3,11.6,6.2,3.5,26.6,6310,3388,65.1,34.9,3635,528,87.3,12.7,3826,94,379,766,681,34,64,2985,869,39.5,1.0,3.9,7.9,7.0,0.4,0.7,30.8,9.0,250000,248000,290000,298000,296250,342225,356500,382500,388025,207,237,227,97,128,126,129,155,120,941,519,704,82,716,4320,733,485,5791,299,1709,77.2,5.2,22.8
52,E02000053,Barnet 030,3563,441,3136,1098,459,5134,41.0,5.1,36.1,12.6,5.3,59.0,3724,4973,42.8,57.2,2280,964,70.3,29.7,3790,203,1089,127,1552,31,30,1289,586,43.6,2.3,12.5,1.5,17.8,0.4,0.3,14.8,6.7,203000,198500,239995,245000,232500,219000,250000,261075,253500,93,122,250,349,123,93,202,394,342,1112,718,814,86,751,2473,1199,1169,4672,303,2172,68.3,6.5,31.7
53,E02000054,Barnet 031,3894,355,1814,657,486,3312,54.0,4.9,25.2,9.1,6.7,46.0,3455,3751,47.9,52.1,2072,702,74.7,25.3,2711,121,506,1419,832,19,62,907,629,37.6,1.7,7.0,19.7,11.5,0.3,0.9,12.6,8.7,229500,252475,250000,275000,239500,293000,321500,250000,339000,116,154,216,96,56,81,86,77,94,697,442,621,64,612,2543,928,680,3887,219,1664,70.0,5.6,30.0
54,E02000055,Barnet 032,6887,454,2326,775,688,4243,61.9,4.1,20.9,7.0,6.2,38.1,5450,5680,49.0,51.0,3217,962,77.0,23.0,3640,184,750,3096,991,13,83,1437,936,32.7,1.7,6.7,27.8,8.9,0.1,0.7,12.9,8.4,249975,250000,272000,278000,300750,300000,325000,357500,340000,164,164,232,99,78,103,129,102,113,1282,677,960,79,976,3751,1412,1422,5707,301,2583,68.8,5.3,31.2
